New Mexico Location,USDA Hardiness Zone(s)
Abeytas,Zone 7a
Abiquiu,Zone 6b
Acomita Lake,Zone 6b
Adelino,Zone 7a
Agua Fria,Zone 6b
Alamillo,Zone 7a
Alamo,"Zone 6b, 7a"
Alamogordo,Zone 8a
Albuquerque,"Zone 7a, 7b"
Alcalde,Zone 6a
Algodones,Zone 7b
Angel Fire,"Zone 5a, 5b, 6a"
Animas,Zone 8a
Anthony,Zone 8a
Anton Chico,Zone 6b
Anzac Village,Zone 6b
Apache Creek,Zone 6a
Aragon,Zone 6a
Arenas Valley,Zone 8a
Arrey,Zone 8a
Arroyo Seco,"Zone 5b, 6a"
Artesia,"Zone 7a, 7b"
Atoka,Zone 7a
Aztec,Zone 6b
Bayard,Zone 8a
Beclabito,Zone 7a
Belen,Zone 7a
Bent,"Zone 7a, 7b"
Berino,Zone 8a
Bernalillo,Zone 7b
Bernalillo County,"Zone 6a, 6b, 7a, 7b"
Bibo,"Zone 6b, 7a"
Black Rock,Zone 6a
Blanco,Zone 6b
Bloomfield,"Zone 6b, 7a"
Bluewater Acres,"Zone 5b, 6a"
Bluewater Village,Zone 6a
Boles Acres,Zone 8a
Bosque Farms,Zone 7a
Brazos,Zone 5a
Brimhall Nizhoni,"Zone 6a, 6b"
Buckhorn,Zone 7b
Canon de los Alamos,"Zone 6a, 6b"
Ca̱on,"Zone 6b, 7a"
Ca̱ones,"Zone 6b, 7a"
Caballo,Zone 8a
Canjilon,Zone 5b
Cannon AFB,Zone 7a
Canova,Zone 6a
Capulin,Zone 6a
Carlsbad,"Zone 7b, 8a"
Carnuel,"Zone 7a, 7b"
Carrizozo,Zone 7a
Casa Colorada,Zone 7a
Catron County,"Zone 5b, 6a, 6b, 7a, 7b, 8a, 8b"
Causey,Zone 7a
Cedar Crest,"Zone 6b, 7a"
Cedar Grove,"Zone 6b, 7a"
Cedar Hill,Zone 6b
Cedro,"Zone 6b, 7a"
Chama,Zone 5a
Chamberino,Zone 8a
Chamisal,"Zone 6a, 6b"
Chamita,Zone 6a
Chamizal,Zone 7a
Chaparral,Zone 8a
Chaves County,"Zone 7a, 7b"
Chical,Zone 7a
Chili,"Zone 6a, 6b"
Chilili,Zone 7a
Chimayo,"Zone 6a, 6b"
Chupadero,Zone 6b
Church Rock,Zone 6a
Cibola County,"Zone 5a, 5b, 6a, 6b, 7a, 7b"
Cimarron,Zone 6a
City of the Sun,Zone 8a
Clayton,Zone 6b
Cliff,Zone 7b
Cloudcroft,Zone 6b
Clovis,Zone 7a
Cobre,Zone 8a
Cochiti,Zone 7a
Cochiti Lake,Zone 7a
Colfax County,"Zone 4b, 5a, 5b, 6a, 6b"
Columbus,Zone 8a
Conchas Dam,Zone 7a
Cordova,Zone 6b
Corona,Zone 6b
Corrales,"Zone 7a, 7b"
Costilla,Zone 5a
Cotton City,Zone 8a
Coyote,"Zone 6a, 6b"
Crownpoint,Zone 6b
Cruzville,Zone 6a
Crystal,"Zone 6a, 6b"
Cuartelez,Zone 6a
Cuba,Zone 5b
Cubero,Zone 6b
Cundiyo,Zone 6b
Curry County,"Zone 6b, 7a"
Cuyamungue,"Zone 6a, 6b"
Cuyamungue Grant,Zone 6b
Datil,Zone 6a
De Baca County,"Zone 6b, 7a"
Deming,Zone 8a
Des Moines,Zone 6a
